id,firstname,surname,date_of_birth,date_of_death,place_of_birth,place_of_death,place_of_birth_original_name,place_of_death_original_name,remark,sex,pseudonym_for_id
624,Josef Hubert,Tichý,1801-11-30,1878-05-19,Divišov (u Vlašimi),Měčín (u Klatov),,,,M,
625,Zdeněk,Tlamich,1880-09-17,,Litomyšl,Praha,,,Datum úmrtí: 14.03.1931 nebo 15.03.1931; in DČLO,M,
626,Karel,Toman,1877-02-25,1946-06-12,Kokovice (u Slaného),Praha,,,,M,
627,Ferdinand,Tomek,1860-04-01,1940-07-22,Choceň,Nová Paka,,,,M,
628,Jan Slavomír,Tomíček,1805-07-16,1866-04-28,Horní Branná (u Jilemnice),Praha,Branná (u Jilemnice),,,M,
629,Josef,Toužímský,,,,,,,,M,
630,Antonín,Travěnec,,,,,,,Zjistit o jakého Antonína Travěnce se jedná in DČLO (?),M,
631,Josef L.,Trkal,,,,,,,,M,
634,František Dobromysl,Trnka,1798-02-13,1837-05-23,Humpolec,Olomouc,,,,M,
635,Boleslav,Trojan,1850-01-06,1929-04-07,Praha,Praha,,,In DČLO,M,
636,Jaro,Trojan,,,,,,,,M,
637,Olga,Trojanová,1853-09-24,,Praha,Rakovník,,,In DČLO,F,
638,Hanuš Věnceslav,Tůma,1846-02-16,1910-06-06,Benešov (u Prahy),Brno,,,Jan Václav Tůma in Lexikon,M,
640,Eduard,Turek,,,,,,,,M,
641,M.,Turenský,,,,,,,,M,
642,Josef Ladislav,Turnovský,1838-02-09,1901-02-08,Sobotka,Praha-Vinohrady,,Královské Vinohrady,,M,
643,Josef,Uhlíř,1822-09-02,1904-12-09,Hořice (u Jičína),Praha,,,,M,
644,František,Ulrich,1859-02-06,1939-05-18,Hradec Králové,Rokycany,,,,M,
645,Jaroslav,Urban,1889-04-02,1960-07-21,Vřeskovice (u Přeštic),Nepomuk,,,Jaroslav František Urban in Lexikon,M,
646,Josef,Urban,1891-05-09,1961-01-14,Žandov,Limburg an der Lahn (Německo),Sandou,,In DČLO,M,
647,Sigismund,Uttenrodt ze Scharfenbergu,,,Pruchna (Polsko),?,,,Datum narození: 1871; in DČLO,M,
648,František Jaroslav,Vacek,1806-01-24,1869-03-23,Kamenice nad Lipou,Blovice (u Plzně),Kamenice,,František Jaroslav Vacek Kamenický in Lexikon,M,
649,František,Valoušek,1863-07-26,1932-03-14,Vřesovice (u Prostějova),Kroměříž,Břesovice (u Prostějova),,,M,
650,František B.,Vaněk,1872-07-15,1943-04-01,Stádlec (u Tábora),"Dauchau (koncentrační tábor, Německo)",Stálec (u Tábora),,,M,
651,Věra,Vášová,1879-10-04,1963-11-12,Praha,Nové Město na Moravě,,,,F,
652,František Jan,Vavák,1741-10-26,1816-11-15,Milčice (u Poděbrad),Milčice (u Poděbrad),,,,M,
653,Antonín,Vedral,,,,,,,,M,
654,Josef,Vejchodský,1863-04-12,1901-05-27,Kunštát,Brno,,,In DČLO,M,
655,S.,Velen,,,,,,,?? Není ve filtru ČEKu!,M,
657,Adolf,Venig,,,,,,,,M,
658,Antonín,Veselý,1888-03-27,1945-10-03,Moravské Křižánky (u Žďáru nad Sázavou),Praha,,,,M,
659,Václav,Veverka,1858-10-05,1910-04-12,Vlkov (u Jaroměře),Praha,,,,M,
660,M.XX,Vežnar,,,,,,,,M,
661,Božena,Viková-Kunětická,1862-07-30,1934-03-18,Pardubice,Libočany (u Žatce),,,,F,
662,Kamil,Vilenský,,,,,,,,M,
663,Karel Marie Drahotín,Villani,1818-01-23,1883-03-24,Sušice,Bořeňovice-Střížkov (u Benešova),,Střížkov (u Benešova),,M,
664,Karel Alois,Vinařický,1803-01-24,1869-02-03,Slaný,Praha-Vyšehrad,,Vyšehrad,,M,
666,Jan Baptista,Vladyka,1799-08-06,1878-06-05,Mladá Vožice,České Budějovice,,,,M,
667,E.,Vlasák,1891-08-13,1975-09-05,Kutná Hora,Praha,,,Vl.jm. = Emanuel Vlasák; in DČLO,M,
669,Václav,Vlček,1839-09-01,1908-08-17,Střechov (u Vlašimi),Praha-Vinohrady,,Královské Vinohrady,,M,
670,Jan,Vlk,1822-07-09,1896-07-31,Telč,Lesná (u Znojma),,,,M,
671,František,Vlna,,,,,,,Viz ř. 558,M,
672,Karel,Schwarz,1833-10-04,1860-12-12,Praha,Praha,,,In DČLO,M,
673,Jaroslav,Vltavský,,,,,,,,M,
674,Jan Erazim,Vocel,1802-08-23,1871-09-16,Kutná Hora,Praha,,,,M,
675,Václav,Vojáček,1821-07-29,1898-02-25,Tetín,Praha,,,,M,
677,Jiří,Volný,1885-07-15,1939-09-19,Bavorov,České Budějovice,,,Vl.jm. = Jindřich Veselý; in DČLO,M,
678,Jan,Vondrášek,1871-04-09,,Bezděkov,?,,,In DČLO,M,
679,Josef,Voráček,1857-02-22,1900-07-04,Švihov (u Klatov),Uherský Brod,Kokšín (u Klatov),,Josef Antonín Voráček in Lexikon,M,
680,Jan,Vorel,1869-12-18,1925-03-20,Telč,Praha,,,,M,
681,František Ladislav,Vorlíček,1828-04-02,1865-05-20,Blatná,Praha,,,,M,
682,Slavomír,Vránek,,,,,,,,M,
684,Jan,Vrba,1889-07-10,1961-05-18,Klenčí (u Domažlic),Domažlice,,,,M,
685,Žitomír,Vrba,1845-11-10,1922-12-07,Klatovy,Praha,,,Vl.jm. = Karel Vrba; in DČLO,M,
686,Jaroslav,Vrchlický,1853-02-17,1912-09-09,Louny,Domažlice,,,,M,
687,Jan,Nálevka,1856-05-31,1945-06-07,Vřesník (u Jičína),Turnov,,,,M,
689,K. XX,Vřesovský,1872-01-20,1949-02-26,Chropyně,?,,,Místo úmrtí: Holice nebo Olomouc; in DČLO,M,
690,Jan,Vyhlídal,1861-04-27,1937-06-18,Hluchov (u Prostějova),Vyškov,,,,M,
691,Quido Maria,Vyskočil,1881-10-18,1969-08-14,Příbram,Praha,,,,M,
692,František,Walzel,,,,,,,,M,
693,Richard,Weiner,1884-11-06,1937-01-03,Písek,Praha,,,,M,
694,Josef,Wenzig,1807-01-18,1876-08-28,Praha,Turnov,,,,M,
695,Zikmund,Winter,1846-12-27,1912-06-12,Praha,Bad Reichenhall (Bavorsko),,,,M,
696,Jan,Wojkowicz,1880-05-18,1944-12-06,Nymburk,Satalice (u Prahy),,,,M,
697,Hugo Václav,Wunsch,1857-04-01,1930-10-02,Hnilec (Slovensko),Praha,,,,M,
698,Josef,Wünsch,1842-06-29,1907-11-20,Rokycany,Plzeň,,,,M,
701,Milada,Záhořová,,,,,,,Viz ř. 678,F,
702,Ferdinand,Zahrádka,,,,,,,,M,
703,Josef,Fabian,1863-10-25,1928-11-24,Velký Temelín (u Týna nad Vltavou),Dříteň (u Českých Budějovic),,,,M,
704,Jaroslav,Zalužan,,,,,,,,M,
706,August,Zátka,1847-07-27,1935-01-31,České Budějovice,České Budějovice,,,In DČLO,M,
707,Bedřich,Zavadil,1877-12-09,1942-04-30,Praha,Brno,,,In DČLO,M,
708,František,Zavřel,1884-11-01,1947-12-04,Trhová Kamenice,Praha,,,,M,
711,František Emanuel,Zelenka,,,,,,,,M,
712,Karel,Zelenka,1883-11-21,1903-11-01,Křečovice u Neveklova,Křečovice u Neveklova,,,In DČLO,M,
713,Svato,Zelenka,,,,,,,Viz ř. 713,M,
714,,Želmír,,,,,,,Viz ř. 540,M,
715,František J.,Zeman,1874-04-28,,Praha,?,,,Datum úmrtí: 1949; in DČLO,M,
717,Julius,Zeyer,1841-04-26,1901-01-29,Praha,Praha,,,,M,
718,Jan,z Hvězdy,1803-10-04,1853-11-03,Liblín,Kralovice (u Radnic),,,Vl.jm. = Jan Jindřich Marek (in Lexikon),M,
720,Luisa,Ziková,1874-01-16,1896-05-12,Praha,Praha,,,,F,
721,Alois,Žipek,1885-06-21,1950-09-21,Předmíř (u Blatné),Praha,,,,M,
722,Emanuel,Zítek,1856-11-26,1934-11-01,Brandýs nad Labem,Brandýs nad Labem,,,,M,
723,Bedřich,Zmar,,,,,,,,M,
724,Sofie,Podlipská,1833-05-15,1897-12-17,Praha,Praha,,,,F,
725,Emanuel,Züngel,1840-06-21,1894-04-22,Praha,Praha,,,,M,
726,Ladislav,Tesař,1859-08-10,1886-10-30,Valjevo (Srbsko),Dolní Břežany (u Prahy),,,,M,
747,Jan,Křišťan,,,,,,,,M,
748,Antonín,Pelant,1848-06-08,1886-05-27,,Praha,,,,M,
749,Lila,Bubelová,1886-02-12,1974-09-13,Krempna (Halič),Praha,,,,F,
